model,window_days,cost_mode,channel_id,romi_attr,attributed_revenue_rub,cac_rub
linear,7,direct,own_tg_main,,3276305.3,0.0
linear,7,opportunity,ext_tg_ds_memes,15.2,535207.5,557.7
linear,7,opportunity,ext_tg_it_jobs,5.2,311150.0,1477.8
linear,7,opportunity,ext_tg_ml_digest,6.5,300226.7,1188.1
linear,7,opportunity,ext_tg_student_life,6.3,174112.5,1391.3
linear,7,opportunity,ext_youtube_review,1.4,83993.3,4468.1
linear,7,opportunity,own_tg_main,3.6,3276305.3,2079.4
linear,14,direct,ext_tg_ds_memes,14.6,514625.0,580.6
linear,14,direct,ext_tg_it_jobs,5.4,318249.2,1449.3
linear,14,direct,ext_tg_ml_digest,6.8,311885.0,1142.9
linear,14,direct,ext_tg_student_life,6.1,169883.3,1432.8
linear,14,direct,ext_youtube_review,1.3,79260.0,4883.7
linear,14,direct,own_tg_main,,3287092.8,0.0
linear,14,opportunity,ext_tg_ds_memes,14.6,514625.0,580.6
linear,14,opportunity,ext_tg_it_jobs,5.4,318249.2,1449.3
linear,14,opportunity,ext_tg_ml_digest,6.8,311885.0,1142.9
linear,14,opportunity,ext_tg_student_life,6.1,169883.3,1432.8
linear,14,opportunity,ext_youtube_review,1.3,79260.0,4883.7
linear,14,opportunity,own_tg_main,3.6,3287092.8,2070.5
linear,30,direct,ext_tg_ds_memes,14.7,517441.7,577.3
linear,30,direct,ext_tg_it_jobs,5.4,320484.2,1442.3
linear,30,direct,ext_tg_ml_digest,6.8,311885.0,1142.9
linear,30,direct,ext_tg_student_life,6.1,169883.3,1432.8
linear,30,direct,ext_youtube_review,1.3,79260.0,4883.7
linear,30,direct,own_tg_main,,3282041.2,0.0
linear,30,opportunity,ext_tg_ds_memes,14.7,517441.7,577.3
linear,30,opportunity,ext_tg_it_jobs,5.4,320484.2,1442.3
linear,30,opportunity,ext_tg_ml_digest,6.8,311885.0,1142.9
linear,30,opportunity,ext_tg_student_life,6.1,169883.3,1432.8
linear,30,opportunity,ext_youtube_review,1.3,79260.0,4883.7
linear,30,opportunity,own_tg_main,3.6,3282041.2,2073.4
time_decay,7,direct,ext_tg_ds_memes,15.5,544195.3,549.3
time_decay,7,direct,ext_tg_it_jobs,5.2,310958.3,1474.2
time_decay,7,direct,ext_tg_ml_digest,6.6,303606.4,1176.7
time_decay,7,direct,ext_tg_student_life,6.1,171417.6,1405.1
time_decay,7,direct,ext_youtube_review,1.4,84627.0,4513.2
time_decay,7,direct,own_tg_main,,3266190.7,0.0
time_decay,7,opportunity,ext_tg_ds_memes,15.5,544195.3,549.3
time_decay,7,opportunity,ext_tg_it_jobs,5.2,310958.3,1474.2
time_decay,7,opportunity,ext_tg_ml_digest,6.6,303606.4,1176.7
time_decay,7,opportunity,ext_tg_student_life,6.1,171417.6,1405.1
time_decay,7,opportunity,ext_youtube_review,1.4,84627.0,4513.2
time_decay,7,opportunity,own_tg_main,3.5,3266190.7,2085.9
time_decay,14,direct,ext_tg_ds_memes,15.1,531234.7,563.2
time_decay,14,direct,ext_tg_it_jobs,5.3,316122.3,1453.1
time_decay,14,direct,ext_tg_ml_digest,6.8,310581.1,1149.1
time_decay,14,direct,ext_tg_student_life,6.0,168845.4,1431.2
time_decay,14,direct,ext_youtube_review,1.3,81811.7,4756.9
time_decay,14,direct,own_tg_main,,3272400.0,0.0
time_decay,14,opportunity,ext_tg_ds_memes,15.1,531234.7,563.2
time_decay,14,opportunity,ext_tg_it_jobs,5.3,316122.3,1453.1
time_decay,14,opportunity,ext_tg_ml_digest,6.8,310581.1,1149.1
time_decay,14,opportunity,ext_tg_student_life,6.0,168845.4,1431.2
time_decay,14,opportunity,ext_youtube_review,1.3,81811.7,4756.9
time_decay,14,opportunity,own_tg_main,3.5,3272400.0,2080.5
time_decay,30,direct,ext_tg_ds_memes,15.1,532109.5,562.2
time_decay,30,direct,ext_tg_it_jobs,5.3,317216.1,1449.8
time_decay,30,direct,ext_tg_ml_digest,6.8,310581.1,1149.1
time_decay,30,direct,ext_tg_student_life,6.0,168845.4,1431.2
time_decay,30,direct,ext_youtube_review,1.3,81811.7,4756.9
time_decay,30,direct,own_tg_main,,3270431.4,0.0
time_decay,30,opportunity,ext_tg_ds_memes,15.1,532109.5,562.2
time_decay,30,opportunity,ext_tg_it_jobs,5.3,317216.1,1449.8
time_decay,30,opportunity,ext_tg_ml_digest,6.8,310581.1,1149.1
time_decay,30,opportunity,ext_tg_student_life,6.0,168845.4,1431.2
time_decay,30,opportunity,ext_youtube_review,1.3,81811.7,4756.9
time_decay,30,opportunity,own_tg_main,3.5,3270431.4,2081.6
position,7,direct,ext_tg_ds_memes,15.1,531727.5,562.2
position,7,direct,ext_tg_it_jobs,5.3,313569.0,1466.3
position,7,direct,ext_tg_ml_digest,6.4,294144.0,1204.8
position,7,direct,ext_tg_student_life,6.2,171600.0,1403.5
position,7,direct,ext_youtube_review,1.4,84950.0,4430.4
position,7,direct,own_tg_main,,3285004.8,0.0
position,7,opportunity,ext_tg_ds_memes,15.1,531727.5,562.2
position,7,opportunity,ext_tg_it_jobs,5.3,313569.0,1466.3
position,7,opportunity,ext_tg_ml_digest,6.4,294144.0,1204.8
position,7,opportunity,ext_tg_student_life,6.2,171600.0,1403.5
position,7,opportunity,ext_youtube_review,1.4,84950.0,4430.4
position,7,opportunity,own_tg_main,3.6,3285004.8,2074.9
position,14,direct,ext_tg_ds_memes,14.5,511431.0,584.1
position,14,direct,ext_tg_it_jobs,5.4,318824.5,1449.3
position,14,direct,ext_tg_ml_digest,6.6,303959.0,1162.8
position,14,direct,ext_tg_student_life,5.9,165482.5,1463.4
position,14,direct,ext_youtube_review,1.3,79220.0,4929.6
position,14,direct,own_tg_main,,3302078.3,0.0
position,14,opportunity,ext_tg_ds_memes,14.5,511431.0,584.1
position,14,opportunity,ext_tg_it_jobs,5.4,318824.5,1449.3
position,14,opportunity,ext_tg_ml_digest,6.6,303959.0,1162.8
position,14,opportunity,ext_tg_student_life,5.9,165482.5,1463.4
position,14,opportunity,ext_youtube_review,1.3,79220.0,4929.6
position,14,opportunity,own_tg_main,3.6,3302078.3,2062.4
position,30,direct,ext_tg_ds_memes,14.6,514811.0,580.0
position,30,direct,ext_tg_it_jobs,5.4,322155.5,1436.8
position,30,direct,ext_tg_ml_digest,6.6,303959.0,1162.8
position,30,direct,ext_tg_student_life,5.9,165482.5,1463.4
position,30,direct,ext_youtube_review,1.3,79220.0,4929.6
position,30,direct,own_tg_main,,3295367.3,0.0
position,30,opportunity,ext_tg_ds_memes,14.6,514811.0,580.0
position,30,opportunity,ext_tg_it_jobs,5.4,322155.5,1436.8
position,30,opportunity,ext_tg_ml_digest,6.6,303959.0,1162.8
position,30,opportunity,ext_tg_student_life,5.9,165482.5,1463.4
position,30,opportunity,ext_youtube_review,1.3,79220.0,4929.6
position,30,opportunity,own_tg_main,3.6,3295367.3,2066.6
