placement_id,campaign_id,channel_id,creative_id,publication_time,cost_rub,cost_type,opportunity_cost_rub,post_url,message_id,deep_link,views_public,status,data_origin
p_own_1836,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-09 13:32:11,0.0,opportunity,20000.0,https://t.me/postypashki_old/1836,1836.0,https://t.me/PostupashkiTrackBot?start=p_own_1836,18300,published,real_post/synthetic_cost
p_own_1837,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-09 18:35:40,0.0,opportunity,20000.0,https://t.me/postypashki_old/1837,1837.0,https://t.me/PostupashkiTrackBot?start=p_own_1837,19800,published,real_post/synthetic_cost
p_own_1838,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-10 16:26:59,0.0,opportunity,20000.0,https://t.me/postypashki_old/1838,1838.0,https://t.me/PostupashkiTrackBot?start=p_own_1838,16500,published,real_post/synthetic_cost
p_own_1840,cmp_2026-08_start_sale,own_tg_main,cr_sale,2026-08-10 20:33:06,0.0,opportunity,20000.0,https://t.me/postypashki_old/1840,1840.0,https://t.me/PostupashkiTrackBot?start=p_own_1840,30800,published,real_post/synthetic_cost
p_own_1843,cmp_2026-08_start_sale,own_tg_main,cr_native_promo,2026-08-11 18:50:13,0.0,opportunity,20000.0,https://t.me/postypashki_old/1843,1843.0,https://t.me/PostupashkiTrackBot?start=p_own_1843,18000,published,real_post/synthetic_cost
p_own_1852,cmp_2026-08_pro_launch,own_tg_main,cr_native_promo,2026-08-16 19:39:39,0.0,opportunity,20000.0,https://t.me/postypashki_old/1852,1852.0,https://t.me/PostupashkiTrackBot?start=p_own_1852,22200,published,real_post/synthetic_cost
p_ext_stud_life_0821,cmp_2026-08_pro_launch,ext_tg_student_life,cr_native,2026-08-21 18:00:00,12000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_stud_life_0821,9000,published,synthetic
p_ext_it_jobs_0822,cmp_2026-08_pro_launch,ext_tg_it_jobs,cr_native,2026-08-22 10:00:00,25000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_it_jobs_0822,17000,published,synthetic
p_own_1859,cmp_2026-08_pro_launch,own_tg_main,cr_launch,2026-08-22 13:19:48,0.0,opportunity,20000.0,https://t.me/postypashki_old/1859,1859.0,https://t.me/PostupashkiTrackBot?start=p_own_1859,35700,published,real_post/synthetic_cost
p_ext_ml_digest_0823,cmp_2026-08_pro_launch,ext_tg_ml_digest,cr_native,2026-08-23 09:00:00,40000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_ml_digest_0823,45000,published,synthetic
p_own_1860,cmp_2026-08_pro_launch,own_tg_main,cr_native_promo,2026-08-23 11:51:41,0.0,opportunity,20000.0,https://t.me/postypashki_old/1860,1860.0,https://t.me/PostupashkiTrackBot?start=p_own_1860,20600,published,real_post/synthetic_cost
p_own_1863,cmp_2026-08_pro_launch,own_tg_main,cr_native_promo,2026-08-23 19:20:03,0.0,opportunity,20000.0,https://t.me/postypashki_old/1863,1863.0,https://t.me/PostupashkiTrackBot?start=p_own_1863,21400,published,real_post/synthetic_cost
p_own_1870,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-08-28 19:05:59,0.0,opportunity,20000.0,https://t.me/postypashki_old/1870,1870.0,https://t.me/PostupashkiTrackBot?start=p_own_1870,19700,published,real_post/synthetic_cost
p_own_1872,cmp_2026-09_tbank_season,own_tg_main,cr_launch,2026-08-29 21:58:58,0.0,opportunity,20000.0,https://t.me/postypashki_old/1872,1872.0,https://t.me/PostupashkiTrackBot?start=p_own_1872,20300,published,real_post/synthetic_cost
p_ext_yt_review_0830,cmp_2026-09_tbank_season,ext_youtube_review,cr_native,2026-08-30 15:00:00,35000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_yt_review_0830,12000,published,synthetic
p_own_1874,cmp_2026-09_tbank_season,own_tg_main,cr_sale,2026-08-30 16:26:37,0.0,opportunity,20000.0,https://t.me/postypashki_old/1874,1874.0,https://t.me/PostupashkiTrackBot?start=p_own_1874,19400,published,real_post/synthetic_cost
p_own_1875,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-08-31 17:11:02,0.0,opportunity,20000.0,https://t.me/postypashki_old/1875,1875.0,https://t.me/PostupashkiTrackBot?start=p_own_1875,20600,published,real_post/synthetic_cost
p_own_1876,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-01 20:40:56,0.0,opportunity,20000.0,https://t.me/postypashki_old/1876,1876.0,https://t.me/PostupashkiTrackBot?start=p_own_1876,17400,published,real_post/synthetic_cost
p_own_1877,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-02 19:06:05,0.0,opportunity,20000.0,https://t.me/postypashki_old/1877,1877.0,https://t.me/PostupashkiTrackBot?start=p_own_1877,17000,published,real_post/synthetic_cost
p_ext_stud_life_0903,cmp_2026-09_tbank_season,ext_tg_student_life,cr_native,2026-09-03 19:00:00,12000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_stud_life_0903,8500,published,synthetic
p_own_1878,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-03 19:06:06,0.0,opportunity,20000.0,https://t.me/postypashki_old/1878,1878.0,https://t.me/PostupashkiTrackBot?start=p_own_1878,15000,published,real_post/synthetic_cost
p_ext_ds_memes_0904,cmp_2026-09_tbank_season,ext_tg_ds_memes,cr_native,2026-09-04 12:00:00,18000.0,fixed,0.0,,,https://t.me/PostupashkiTrackBot?start=p_ext_ds_memes_0904,28000,published,synthetic
p_own_1880,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-06 12:06:06,0.0,opportunity,20000.0,https://t.me/postypashki_old/1880,1880.0,https://t.me/PostupashkiTrackBot?start=p_own_1880,12600,published,real_post/synthetic_cost
p_own_1881,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-06 15:06:08,0.0,opportunity,20000.0,https://t.me/postypashki_old/1881,1881.0,https://t.me/PostupashkiTrackBot?start=p_own_1881,14700,published,real_post/synthetic_cost
p_own_1882,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-06 18:04:47,0.0,opportunity,20000.0,https://t.me/postypashki_old/1882,1882.0,https://t.me/PostupashkiTrackBot?start=p_own_1882,12000,published,real_post/synthetic_cost
p_own_1883,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-06 20:44:11,0.0,opportunity,20000.0,https://t.me/postypashki_old/1883,1883.0,https://t.me/PostupashkiTrackBot?start=p_own_1883,14700,published,real_post/synthetic_cost
p_own_1887,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-07 13:47:40,0.0,opportunity,20000.0,https://t.me/postypashki_old/1887,1887.0,https://t.me/PostupashkiTrackBot?start=p_own_1887,18400,published,real_post/synthetic_cost
p_own_1892,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-07 17:05:21,0.0,opportunity,20000.0,https://t.me/postypashki_old/1892,1892.0,https://t.me/PostupashkiTrackBot?start=p_own_1892,13500,published,real_post/synthetic_cost
p_own_1895,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-08 18:27:01,0.0,opportunity,20000.0,https://t.me/postypashki_old/1895,1895.0,https://t.me/PostupashkiTrackBot?start=p_own_1895,12300,published,real_post/synthetic_cost
p_own_1897,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-09 17:17:20,0.0,opportunity,20000.0,https://t.me/postypashki_old/1897,1897.0,https://t.me/PostupashkiTrackBot?start=p_own_1897,10100,published,real_post/synthetic_cost
p_own_1898,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-10 11:59:39,0.0,opportunity,20000.0,https://t.me/postypashki_old/1898,1898.0,https://t.me/PostupashkiTrackBot?start=p_own_1898,9630,published,real_post/synthetic_cost
p_own_1899,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-10 17:06:13,0.0,opportunity,20000.0,https://t.me/postypashki_old/1899,1899.0,https://t.me/PostupashkiTrackBot?start=p_own_1899,10800,published,real_post/synthetic_cost
p_own_1900,cmp_2026-09_tbank_season,own_tg_main,cr_lead_magnet,2026-09-11 16:37:42,0.0,opportunity,20000.0,https://t.me/postypashki_old/1900,1900.0,https://t.me/PostupashkiTrackBot?start=p_own_1900,8470,published,real_post/synthetic_cost
p_own_1901,cmp_2026-09_tbank_season,own_tg_main,cr_native_promo,2026-09-12 12:04:04,0.0,opportunity,20000.0,https://t.me/postypashki_old/1901,1901.0,https://t.me/PostupashkiTrackBot?start=p_own_1901,5420,published,real_post/synthetic_cost
